loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status,total_assets
93,1,0,0,15,61,4,152,10,11,53,21,1,95
94,2,0,0,8,17,4,66,13,4,29,13,1,59
95,5,0,0,1,8,0,0,2,5,4,4,0,15
96,2,0,1,64,147,8,170,13,48,179,70,1,310
97,2,1,0,85,247,9,561,148,85,229,73,0,535
98,4,0,0,92,291,5,262,259,152,359,71,0,841
99,0,0,0,42,105,6,163,25,48,135,47,1,255
100,4,1,0,2,6,5,178,8,1,9,1,1,19
101,2,1,1,1,8,0,402,4,2,2,2,0,10
102,2,1,1,41,126,9,318,115,36,111,24,0,286
103,4,0,0,14,42,5,333,8,17,38,19,0,82
104,5,1,1,60,233,4,31,186,103,235,87,1,611
105,3,1,1,40,94,7,541,79,3,164,51,0,297
106,4,1,1,88,178,5,464,7,165,205,116,0,493
107,0,0,0,25,103,2,291,14,27,96,18,0,155
108,1,0,1,95,355,0,419,197,76,201,109,0,583
109,2,0,0,31,65,6,17,35,3,114,36,1,188
110,0,1,0,1,8,3,478,9,2,6,1,0,18
111,3,0,1,72,179,6,2,57,31,176,50,1,314
112,5,1,0,69,194,3,202,74,56,250,98,1,478
113,5,1,1,71,218,8,579,196,106,190,98,0,590
114,1,1,0,82,231,6,137,155,58,331,81,1,625
115,0,1,1,31,105,5,497,7,60,74,33,0,174
116,4,1,1,56,229,8,156,162,42,223,75,1,502
117,0,1,0,4,13,2,347,16,6,12,7,0,41
118,0,1,0,70,155,5,79,128,122,212,36,1,498
119,1,1,1,89,326,0,417,23,20,233,59,0,335
120,5,0,0,7,20,7,245,2,2,24,8,1,36
121,2,0,0,6,29,3,17,4,10,17,9,1,40
122,1,1,0,83,326,4,270,52,62,202,55,0,371
123,0,1,1,88,184,8,565,264,0,206,113,0,583
124,3,0,0,68,192,6,419,123,103,179,102,0,507
125,3,0,0,0,3,7,521,5,1,2,1,0,9
126,4,1,1,2,5,4,559,10,5,5,2,0,22
127,3,1,0,49,179,4,95,2,80,152,63,1,297
128,2,1,1,5,23,5,129,17,13,24,8,1,62
129,3,0,0,2,9,5,561,3,6,8,2,0,19
130,0,1,1,93,205,6,265,152,119,336,133,0,740
131,5,0,0,86,223,4,57,80,86,179,49,1,394
132,3,1,1,16,33,8,165,7,5,51,26,1,89
133,4,1,1,66,136,3,179,118,91,254,96,1,559
134,3,1,0,13,52,7,417,22,8,41,13,0,84
135,3,0,0,14,52,5,125,7,8,51,9,1,75
136,2,1,0,44,164,0,486,3,59,136,61,0,259
137,5,1,1,20,64,2,82,45,13,83,11,1,152
138,3,1,1,27,82,5,264,11,31,72,18,0,132
139,0,0,0,0,4,3,201,6,2,4,1,1,13
140,2,1,1,23,91,4,427,67,41,92,33,0,233
141,4,1,0,34,72,2,594,12,65,71,28,0,176
142,0,0,1,53,164,8,529,56,13,125,59,0,253
143,4,1,0,64,171,9,206,27,100,256,72,1,455
144,2,0,1,84,318,2,502,95,167,242,98,0,602
145,5,1,0,4,12,6,243,4,9,18,3,1,34
146,3,0,1,12,29,9,472,25,9,48,16,0,98
147,3,0,0,38,108,5,272,98,1,122,24,0,245
148,0,1,1,47,116,7,409,147,9,182,38,0,376
149,5,0,0,18,59,8,102,41,21,69,11,1,142
150,1,1,1,50,190,3,181,144,95,185,42,1,466
151,5,0,1,87,285,2,472,137,55,201,84,0,477
152,1,0,1,63,203,0,6,160,19,178,32,0,389
153,2,1,0,11,42,2,115,1,9,26,12,1,48
154,3,1,0,92,347,7,248,183,44,357,48,1,632
155,5,1,0,48,109,3,401,92,5,137,46,0,280
156,2,0,0,28,74,5,590,48,43,81,21,0,193
157,5,1,1,97,330,2,64,54,183,275,83,1,595
158,5,0,1,5,10,9,404,17,0,19,6,0,42
159,3,0,1,38,103,4,18,16,51,77,49,1,193
160,5,1,0,29,93,0,461,59,18,101,42,0,220
161,4,1,0,43,148,2,393,38,15,175,60,0,288
162,3,1,0,95,203,7,224,242,111,271,61,1,685
163,2,1,1,18,50,4,381,50,14,40,29,0,133
164,2,0,1,79,220,8,437,224,126,267,73,0,690
165,0,1,0,55,156,7,338,2,95,160,45,0,302
166,4,1,0,56,125,0,356,6,50,157,28,0,241
167,1,0,0,16,62,2,240,26,32,47,11,1,116
168,4,1,1,89,349,2,41,11,3,228,82,1,324
169,0,1,1,46,172,0,71,118,68,184,35,0,405
170,3,1,1,36,102,5,586,41,5,146,23,0,215
171,0,1,0,17,38,8,501,5,8,45,12,0,70
172,3,1,1,34,92,7,448,78,24,94,26,0,222
173,2,1,1,72,279,3,76,220,50,171,52,1,493
174,4,1,1,64,140,3,71,109,95,182,74,1,460
175,2,0,0,16,50,2,526,46,7,62,13,0,128
176,4,1,0,90,269,5,573,46,18,335,114,0,513
177,5,1,1,22,83,3,9,6,6,54,28,1,94
178,4,1,0,54,130,9,569,34,75,197,65,0,371
179,5,0,0,36,136,5,234,48,29,79,28,1,184
180,3,1,1,43,176,2,487,99,36,140,42,0,317
181,0,0,1,7,19,7,266,2,7,17,6,0,32
182,0,1,0,26,96,3,442,50,13,64,17,0,144
183,2,1,0,73,228,1,524,122,109,260,95,0,586
184,4,0,0,12,28,6,275,31,21,46,14,0,112
185,2,0,1,36,106,4,466,20,39,83,30,0,172
186,1,1,1,15,47,4,588,30,9,38,22,0,99
187,3,0,1,88,301,2,338,169,110,266,92,0,637
188,5,1,1,71,230,2,322,72,116,261,105,0,554
189,1,1,0,72,195,8,158,127,62,274,40,1,503
190,1,1,0,88,279,7,27,18,23,237,112,1,390
191,0,1,0,28,62,0,312,89,34,64,17,0,204
192,1,0,0,6,26,3,382,23,11,26,7,0,67
193,2,0,0,46,129,0,283,138,58,92,52,0,340
194,5,1,0,62,180,3,397,101,36,222,36,0,395
195,3,0,0,90,268,5,6,59,115,277,96,1,547
196,4,1,1,2,12,0,369,0,6,6,5,0,17
197,2,1,0,26,57,8,516,64,42,77,34,0,217
198,4,1,1,83,286,9,155,153,58,222,94,1,527
199,3,0,1,45,161,4,18,115,81,159,43,1,398
200,4,1,1,96,209,9,55,221,89,315,143,1,768
201,2,1,1,36,86,7,89,3,56,119,22,1,200
202,2,0,0,3,12,0,588,16,3,12,6,0,37
203,2,0,1,67,153,2,52,131,53,223,100,1,507
204,4,1,1,94,298,5,570,4,67,375,56,0,502
205,3,1,0,27,62,8,527,84,6,101,32,0,223
206,2,0,0,96,206,5,468,35,102,376,133,0,646
207,0,0,0,69,151,8,407,104,108,193,58,0,463
208,1,1,1,75,188,4,55,114,49,216,66,1,445
209,3,0,0,12,30,0,352,2,21,32,19,0,74
210,3,0,0,76,156,0,365,145,9,269,54,0,477
211,5,1,1,15,57,8,120,6,16,34,23,1,79
212,2,1,0,83,324,8,171,127,94,336,125,1,682
213,5,1,0,17,72,9,415,52,28,62,28,0,170
214,2,1,1,65,149,4,389,1,82,147,68,0,298
215,3,0,1,67,161,1,487,112,61,261,38,0,472
216,2,0,0,24,75,1,519,32,43,54,15,0,144
217,4,0,1,94,208,2,509,162,95,344,87,0,688
218,1,1,1,66,167,0,444,156,39,234,35,0,464
219,0,1,0,30,110,2,184,36,55,82,21,1,194
220,4,1,0,27,101,2,373,52,17,103,17,0,189
221,3,0,1,77,209,8,395,139,106,215,49,0,509
222,4,1,1,37,121,5,173,65,47,128,38,1,278
223,4,0,1,44,107,0,191,91,40,158,35,1,324
224,3,1,1,5,14,3,433,13,8,21,5,0,47
225,0,1,0,50,153,9,134,142,58,178,55,1,433
226,3,1,1,57,203,4,477,20,46,209,64,0,339
227,4,0,0,70,188,1,474,95,70,176,36,0,377
228,1,1,1,85,267,4,417,255,86,172,91,0,604
229,3,1,1,9,32,5,203,31,4,19,12,1,66
230,1,0,1,38,106,6,298,37,66,133,44,0,280
231,2,0,0,96,321,0,243,242,174,254,77,0,747
232,0,1,1,25,65,9,496,8,42,67,19,0,136
233,3,1,1,86,343,3,86,149,165,181,60,1,555
234,5,1,1,31,75,7,332,86,5,68,49,0,208
235,1,0,1,67,231,1,181,188,11,231,102,0,532
236,3,0,1,7,32,1,470,8,0,17,6,1,31
237,3,0,1,39,152,2,367,29,16,144,40,0,229
238,3,1,1,45,172,3,285,13,31,93,49,0,186
239,5,0,1,32,113,7,179,93,57,109,24,1,283
240,2,0,0,94,222,8,551,75,162,240,126,0,603
241,3,1,1,68,159,2,78,201,126,200,55,1,582
242,5,0,0,55,126,8,507,42,9,183,55,0,289
243,1,1,1,80,321,8,531,229,123,174,78,0,604
244,2,1,0,19,48,5,374,23,32,61,24,0,140
245,1,1,1,78,278,8,425,20,128,227,75,0,450
246,2,1,0,78,290,1,300,166,132,291,65,0,654
247,0,1,1,92,267,4,236,45,17,335,48,1,445
248,0,0,0,82,203,4,177,16,15,247,119,1,397
249,1,1,1,17,47,2,260,11,19,60,14,0,104
250,0,1,1,40,161,9,239,96,21,111,31,1,259
251,5,0,0,24,88,3,552,38,7,100,33,0,178
252,3,1,0,35,82,9,553,84,57,72,49,0,262
253,0,0,0,86,306,5,429,18,7,254,114,0,393
254,2,1,0,19,44,0,246,61,32,54,15,1,162
255,3,0,1,7,21,4,189,9,0,25,5,1,39
256,3,0,1,96,351,2,569,145,164,225,103,0,637
257,2,1,0,78,197,0,202,42,22,313,99,1,476
258,0,0,0,96,376,3,352,233,186,294,54,0,767
259,0,1,1,1,8,3,489,5,1,5,4,0,15
260,4,1,0,25,78,1,25,51,8,96,34,0,189
261,3,0,1,72,193,0,416,42,89,288,42,0,461
262,3,0,0,90,340,8,223,256,40,288,88,1,672
263,5,1,0,93,219,9,52,245,0,305,70,1,620
264,5,0,1,36,141,0,45,34,8,127,47,0,216
265,0,0,0,81,191,8,349,26,161,240,113,0,540
266,2,0,1,26,71,8,366,2,23,60,34,0,119
267,0,0,0,84,206,4,513,114,119,257,48,0,538
268,0,1,0,52,165,4,299,54,74,142,76,0,346
269,5,0,1,40,91,2,378,48,55,96,57,0,256
270,5,1,0,50,119,9,213,135,20,165,54,1,374
271,5,0,0,92,276,1,570,12,2,292,104,0,410
272,3,0,0,86,201,3,183,33,114,279,118,1,544
273,1,0,1,57,164,7,8,59,88,188,53,1,388
274,3,0,1,15,46,7,291,48,10,40,14,0,112
275,1,1,0,68,227,4,586,141,37,264,36,0,478
276,4,1,0,15,37,2,529,1,16,49,17,0,83
277,0,1,0,13,46,5,351,17,28,43,8,0,96
278,4,1,0,18,44,8,433,38,37,67,28,0,170
279,5,0,1,37,152,5,133,96,54,76,46,1,272
280,1,0,1,7,33,6,413,14,10,15,12,0,51
281,1,0,0,67,222,8,103,9,84,166,63,1,322
282,0,0,1,26,75,4,105,79,25,68,34,1,206
283,3,0,1,66,196,4,216,161,60,257,85,1,563
284,4,1,1,4,15,3,117,18,7,15,8,1,48
285,1,1,0,45,137,2,168,114,18,103,46,1,281
286,5,0,1,28,115,4,372,88,36,95,41,0,260
287,5,1,0,38,136,2,230,61,56,122,60,1,299
288,1,1,1,29,110,6,524,38,60,107,44,0,249
289,1,1,1,75,252,5,249,182,106,202,70,1,560
290,5,1,1,41,90,4,150,22,67,97,41,1,227
291,1,0,1,56,192,9,131,139,50,153,33,1,375
292,3,0,1,34,104,7,12,24,16,128,52,1,220
293,0,1,1,27,73,3,20,81,56,93,31,1,261
294,0,0,0,86,199,1,133,161,42,302,124,1,629
295,1,1,1,1,7,4,131,5,5,6,1,1,17
296,5,1,1,84,286,3,216,100,18,299,68,1,485
297,2,1,1,33,117,6,176,12,68,121,29,1,230
298,5,0,0,6,23,2,260,2,2,27,10,0,41
299,2,0,0,78,268,5,374,145,4,250,64,0,463
300,0,1,1,97,372,2,273,173,100,198,59,0,530
301,2,1,0,31,63,2,31,64,20,86,27,1,197
302,4,0,1,18,64,5,333,2,8,45,20,0,75
303,3,1,0,47,126,8,577,19,70,176,33,0,298
304,5,1,1,90,233,5,356,15,112,359,49,0,535
305,0,1,0,73,179,2,482,75,120,195,41,0,431
306,5,1,0,88,290,1,231,105,95,351,58,0,609
307,3,1,0,12,38,3,155,31,14,26,21,1,92
308,3,0,0,94,196,6,152,43,162,282,66,1,553
309,2,0,0,82,329,6,174,197,150,251,115,1,713
310,3,1,0,62,241,1,183,79,24,188,45,0,336
311,4,0,0,57,165,3,181,70,114,192,33,1,409
312,2,0,1,20,48,9,559,39,12,61,31,0,143
313,4,0,1,54,138,6,396,91,92,162,68,0,413
314,4,1,0,96,284,2,478,167,74,294,111,0,646
315,4,0,0,42,143,1,199,14,65,158,57,0,294
316,2,1,1,22,46,1,588,65,43,48,34,0,190
317,1,0,0,42,105,5,374,97,27,169,53,0,346
318,4,0,0,35,129,1,502,99,24,122,43,0,288
319,4,1,1,21,75,3,240,16,34,44,28,1,122
320,4,0,1,57,193,3,426,175,68,198,80,0,521
321,4,1,1,62,232,0,185,74,27,233,39,0,373
322,4,0,1,47,168,2,312,14,70,192,50,0,326
323,3,1,1,93,239,3,579,32,171,261,126,0,590
324,2,1,0,55,161,5,408,38,8,147,44,0,237
325,2,1,1,25,54,3,550,36,50,102,39,0,227
326,2,1,1,37,110,5,216,32,0,101,46,1,179
327,0,1,0,76,285,5,165,48,75,285,74,1,482
328,0,0,0,9,29,9,416,19,14,33,15,0,81
329,4,1,0,0,3,4,104,1,1,1,0,1,3
330,0,1,1,45,103,9,212,85,40,120,70,1,315
331,3,1,1,80,203,4,141,162,114,288,61,1,625
332,2,1,1,44,181,0,255,78,24,139,42,0,283
333,5,1,0,16,67,8,166,27,21,57,19,1,124
334,3,0,1,30,83,0,127,40,18,68,47,1,173
335,4,1,1,53,197,6,293,152,27,196,49,0,424
336,3,0,0,77,180,4,431,43,34,219,84,0,380
337,1,0,1,38,98,7,151,71,39,140,39,1,289
338,3,1,1,66,166,8,328,37,9,153,49,0,248
339,1,1,0,25,91,8,404,54,23,61,24,0,162
340,2,1,0,66,232,5,41,194,118,140,85,1,537
341,5,0,0,84,207,3,165,118,149,192,99,1,558
342,4,0,0,78,298,1,131,120,138,185,115,0,558
343,1,0,1,35,123,4,124,55,11,139,44,1,249
344,0,0,0,24,48,6,378,6,12,57,31,0,106
345,4,0,0,40,165,2,81,97,38,145,59,1,339
346,5,0,1,78,277,4,149,186,15,171,39,1,411
347,1,1,0,69,232,5,468,65,121,221,73,0,480
348,0,1,0,18,67,2,366,1,12,40,14,1,67
349,4,1,1,56,130,6,442,162,93,160,70,0,485
350,3,1,1,65,155,1,145,106,76,138,91,1,411
351,2,0,0,71,284,6,334,60,38,209,108,0,415
352,4,1,0,31,94,6,482,26,0,101,22,0,149
353,0,0,0,28,67,4,481,73,6,114,27,0,220
354,4,1,0,77,169,6,18,143,95,229,90,1,557
355,5,1,0,74,238,8,421,220,115,226,72,0,633
356,5,1,0,35,95,1,263,96,51,109,30,0,286
357,2,1,0,82,260,1,119,230,79,289,62,0,660
358,0,0,1,80,205,6,72,39,1,258,52,1,350
359,0,1,0,27,92,8,585,44,23,62,35,0,164
360,1,1,1,97,373,5,296,101,93,360,68,0,622
361,0,0,0,42,138,0,49,34,13,85,62,0,194
362,1,1,1,88,319,7,168,46,164,283,109,1,602
363,3,1,1,66,266,7,518,148,104,260,73,0,585
364,2,1,0,85,277,5,243,170,60,226,67,1,523
365,3,0,0,92,216,7,385,82,56,342,50,0,530
366,3,1,1,58,122,8,551,147,50,165,50,0,412
367,1,1,1,92,295,4,77,241,182,306,117,1,846
368,0,1,1,8,37,4,320,25,13,34,11,0,83
369,3,0,1,7,20,9,311,7,15,16,5,0,43
370,4,1,0,19,74,1,467,13,17,66,13,0,109
371,5,0,1,9,29,9,292,33,7,32,5,0,77
372,0,0,1,4,20,1,19,17,8,20,7,0,52
373,4,1,1,90,252,4,600,95,105,271,127,0,598
374,2,1,1,34,125,8,514,87,41,100,41,0,269
375,5,1,1,11,47,4,455,22,22,45,19,0,108
376,5,0,1,75,165,9,284,87,48,231,80,0,446
377,4,0,1,93,232,6,80,230,67,248,73,1,618
378,2,1,1,48,173,9,165,63,52,162,52,1,329
379,0,1,0,3,15,0,231,14,5,16,7,0,42
380,1,0,1,81,318,7,514,186,27,286,75,0,574
381,0,0,0,51,176,2,378,48,39,141,36,0,264
382,2,1,1,91,287,5,355,80,68,296,49,0,493
383,3,1,0,21,71,0,382,66,24,73,21,0,184
384,1,1,0,2,10,2,395,3,5,5,1,0,14
385,3,1,0,30,105,1,533,27,10,84,26,0,147
386,5,1,1,92,350,7,2,42,125,365,128,1,660
387,1,0,0,21,63,0,57,60,2,57,22,1,141
388,5,1,0,41,142,5,2,126,43,122,51,1,342
389,0,0,1,60,221,8,573,158,66,155,82,0,461
390,0,1,1,70,195,5,358,128,81,247,73,0,529
391,5,0,1,22,84,8,577,29,29,68,11,0,137
392,3,1,0,27,60,3,348,35,34,73,14,0,156
393,1,0,0,12,49,5,430,30,0,34,7,0,71
394,4,1,1,20,79,6,437,59,28,79,14,0,180
395,2,0,1,6,29,4,284,1,2,18,7,1,28
396,0,0,0,4,14,0,321,5,4,17,2,0,28
397,4,0,1,5,24,7,283,12,12,11,3,0,38
398,2,1,0,82,256,7,321,87,134,332,42,0,595
399,2,1,0,69,212,7,310,59,121,139,93,0,412
400,4,0,0,52,154,8,152,138,26,162,66,1,392
401,5,0,0,35,70,8,39,94,1,136,53,1,284
402,3,0,1,50,149,7,350,14,57,132,41,0,244
403,4,1,1,0,4,4,372,3,2,0,3,0,8
404,3,0,0,3,7,9,201,9,8,6,2,1,25
405,2,1,1,16,54,1,509,13,19,60,24,0,116
406,5,0,1,90,291,3,18,181,59,335,54,1,629
407,4,1,0,7,30,4,349,1,4,15,12,0,32
408,3,1,0,73,280,5,67,93,113,224,70,1,500
409,5,1,0,28,115,2,547,83,22,68,23,0,196
410,5,0,0,69,186,5,60,108,11,195,85,1,399
411,1,0,1,33,69,0,565,42,32,116,42,0,232
412,4,1,0,47,185,7,580,43,47,129,26,0,245
413,1,0,0,39,81,9,308,15,80,97,44,0,236
414,0,0,1,6,18,2,460,4,1,13,6,0,24
415,3,0,1,15,43,5,85,16,13,49,17,1,95
416,0,0,1,59,230,5,178,39,23,174,49,1,285
417,1,0,1,19,74,7,27,51,5,44,23,1,123
418,0,0,0,29,90,2,363,14,14,78,38,0,144
419,2,1,1,15,32,9,393,23,14,45,17,0,99
420,3,0,0,15,51,2,410,49,7,55,17,0,128
421,4,1,1,38,142,2,411,25,57,106,41,0,229
422,5,0,0,54,181,3,86,114,67,110,56,1,347
423,4,0,1,37,116,4,555,103,40,99,28,0,270
424,4,0,1,59,150,6,273,12,99,130,84,0,325
425,0,0,1,9,25,8,131,6,3,40,14,1,63
426,2,0,0,53,145,3,64,131,45,123,45,1,344
427,4,0,1,9,33,6,411,26,5,33,6,0,70
428,4,1,1,2,6,9,471,11,5,13,5,0,34
429,3,0,0,90,359,8,369,32,127,306,123,0,588
430,4,1,1,91,272,8,38,216,5,346,66,1,633
431,1,0,0,9,32,3,262,24,12,29,5,0,70
432,3,1,0,54,184,0,469,81,82,170,48,0,381
433,0,0,1,61,212,3,329,7,34,217,52,0,310
434,3,0,0,86,178,2,399,65,21,182,94,0,362
435,0,1,0,82,205,9,290,52,89,318,108,0,567
436,3,0,1,14,54,1,407,34,27,59,23,0,143
437,3,1,1,43,111,3,91,86,68,96,45,1,295
438,5,1,0,63,182,1,591,137,33,233,71,0,474
439,3,0,1,93,203,0,431,135,38,204,92,0,469
440,3,1,0,45,164,5,475,41,17,170,35,0,263
441,5,0,1,94,321,0,597,36,154,265,62,0,517
442,5,0,0,78,264,9,494,81,147,296,78,0,602
443,2,0,0,75,164,2,255,130,29,178,85,0,422
444,1,1,1,34,100,5,236,69,5,119,27,1,220
445,2,1,0,5,14,4,539,2,7,17,9,0,35
446,0,0,1,12,48,2,590,42,19,49,19,0,129
447,1,0,1,84,276,9,115,123,148,268,79,1,618
448,4,0,0,45,154,1,568,34,25,135,48,0,242
449,3,0,1,27,55,5,53,85,26,98,31,1,240
450,4,1,0,88,287,7,290,47,156,289,123,0,615
451,5,0,1,3,6,8,318,15,6,9,4,0,34
452,2,1,1,5,14,4,239,15,10,16,9,1,50
453,0,0,0,66,267,1,129,172,76,211,94,0,553
454,2,0,0,16,44,3,492,46,12,38,22,0,118
455,0,1,0,58,121,0,308,31,21,176,68,0,296
456,4,0,1,52,212,6,255,44,15,140,75,0,274
457,5,0,1,82,172,5,320,154,136,257,58,0,605
458,0,0,0,72,206,2,335,157,140,207,72,0,576
459,2,0,0,30,122,4,157,62,20,79,43,1,204
460,1,0,1,52,211,3,50,27,10,194,68,1,299
461,5,0,1,8,22,6,585,23,1,20,11,0,55
462,0,0,0,42,144,7,338,41,27,141,27,0,236
463,1,0,1,36,102,5,410,19,62,122,25,0,228
464,3,1,1,59,206,8,170,6,85,177,75,1,343
465,5,1,1,53,170,7,574,11,29,134,79,0,253
466,5,1,1,3,15,8,111,11,5,10,2,1,28
467,0,1,1,1,8,0,182,3,1,8,4,0,16
468,1,0,1,60,166,0,96,107,75,234,76,1,492
469,0,1,0,1,6,9,136,1,4,3,2,1,10
470,0,1,1,67,218,9,3,137,46,217,69,1,469
471,4,0,0,35,111,5,428,43,58,70,23,0,194
472,3,1,1,86,283,4,475,53,50,317,96,0,516
473,5,0,1,80,232,5,102,152,15,240,58,1,465
474,1,1,1,90,312,8,398,54,61,201,83,0,399
475,0,1,0,22,75,6,365,53,29,59,29,0,170
476,4,1,0,39,132,8,190,48,62,136,20,1,266
477,1,0,0,78,316,5,204,238,15,218,60,1,531
478,3,1,1,34,83,3,490,55,59,95,52,0,261
479,1,1,1,5,24,9,369,2,10,23,5,0,40
480,4,1,0,81,304,2,81,218,23,264,46,1,551
481,0,0,1,51,147,0,600,18,21,207,58,0,304
482,4,0,0,81,246,7,206,155,56,264,70,1,545
483,3,1,1,23,85,5,238,50,18,88,33,1,189
484,3,0,1,52,141,3,377,111,79,205,31,0,426
485,4,0,0,14,46,3,385,33,20,35,15,0,103
486,2,1,0,22,59,5,560,50,37,92,11,0,190
487,5,1,0,61,145,2,308,162,105,215,54,0,536
488,4,0,1,23,50,4,240,24,28,68,17,1,137
489,0,0,1,73,165,7,192,216,48,251,111,1,626
490,3,1,0,27,82,6,534,13,45,85,18,0,161
491,3,0,1,8,32,7,534,9,17,27,7,0,60
492,2,0,1,84,285,3,590,234,59,209,72,0,574
